"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-6e90a0e706124c55be4d68475439f13c","AssignmentRelationship","","","id-f9501e40aa3c4ef78b041fa4cf724469","id-2997f9d47f06469dbf73fd89b90772cf",""
"id-42aadd4b9a8243b58ce0a432c22a4316","AssignmentRelationship","","","id-53a5500343b84360b4cd2ccb71d8ae7e","id-bce597a05bce46d9a1f6d72e37f24512",""
"id-00e2ba1de80f4744ae5a961d8ed1e29c","AssignmentRelationship","","","id-97d691a2331e473faae1fab91e18b469","id-bc11a6362a9d4d01b4b56beaf4388802",""
"id-20a693fdcc1641c2b88f499f2d9091d6","AssignmentRelationship","","","id-97d691a2331e473faae1fab91e18b469","id-b0dde6db301c47d9b6f6a926c1918a16",""
"id-215b8915fc8b4ae39c45cfc69ea1cf2d","AssignmentRelationship","","","id-ddcbfa21ed444c32ae8c9479d454b8aa","id-b70a7fafda1c4b4a81e104dd1383c63e",""
"id-834c491803dc4d40bf028f6997c43670","AssignmentRelationship","","","id-4862e153cce24e1bacd06b2b64e4d1c2","id-4d27a82ff1924966ba444722cf6abe64",""
"id-283278c3d2a84b54ba18581f3c7617e7","AssignmentRelationship","","","id-c8ea42e0a8aa457a9c00c86bf86cf9fd","id-e60406aa68744bab9c29074f4bf557f9",""
"id-e9409f9ee6124193817c24555a1c9212","AssignmentRelationship","","","id-130b51fbe2e54167a71bcfe0a8c5b2e9","id-321066c7064343deb5ca81c815bc05c1",""
"id-d1630bf6f36141a4b942241a1bdb624b","AssignmentRelationship","","","id-dca771de338242faae1148617476ceb5","id-c0c4364a2d6a4bb0b765bce4b4cf3abc",""
"id-e39b39fb6d474f279c790a441cd615ea","AssignmentRelationship","","","id-3cd1aa1326a44c06bc2d3929487172b5","id-fd31349b36424930ae6084ba61c0fa8a",""
"id-19ec007b5c3145b9b79e0d62f4f1d244","AssignmentRelationship","","","id-3cd1aa1326a44c06bc2d3929487172b5","id-56878356f25845c6880ba1406a1abcdb",""
"id-7a1ea680b3fd419d9fc8cd08a2772bc5","AssignmentRelationship","","","id-6ffbdcf384a04a0d87548f6b16ebc02c","id-7981106dcda647118a6361817bd58b82",""
"id-d39863b898d2436ea767b2b60b9043a2","AssignmentRelationship","","","id-c831cb63121d45d4b20ee390ba118e47","id-32c6d8eb4b6f4f2aa17cf17711c2c343",""
"id-b03666b072d8448a8c82cddc30e7f09b","AssignmentRelationship","","","id-7e84eb385a8f4678ba1945f7b8b53e6c","id-a907c4a1a8c24fd588c8c34eec442d4e",""
"id-973dac792fd64cbdbfac9ab1250038b3","AssignmentRelationship","","","id-926d42a7b4d0436b992b7f1bd56a95f0","id-37e46b0cc40043229bd15d3dc5332bd4",""
"id-9641705de68b46baa1d4e41f6323ba01","AssignmentRelationship","","","id-c8ea42e0a8aa457a9c00c86bf86cf9fd","id-8453d1991bf8438698f7dd287ec9db73",""
"id-57982b9b20ce49fcb8898434da5891b6","AssignmentRelationship","","","id-c8ea42e0a8aa457a9c00c86bf86cf9fd","id-210b65bf642f438eb75ff045ada298a5",""
"id-4976075b70934a41941e33ce9b0ba6e8","AssignmentRelationship","","","id-28109763c8cd4cd8928c7f926d11cc05","id-4ac46f5691a5400fade3a217e126ff10",""
